No.,Trade Test Centre,Accreditation Number,SAQA ID,Trade Title,Physical Address,Contact No,Email Address,Contact Person,Start Date,End Date
,Tjeka Training Matters,QCTOASC00210726-2527,93627,Occupational Certificate:  Bricklayer                           ,"No 10 Toyota Street, Aureus Industrial Site Randfontein 1759",011 605 2777 / 082 807 4783,florah@tjeka.co.za,Frans Toua,23-May-22,22-May-27
,Tjeka Training Matters,QCTOASC00210726-2527,91782,Occupational Certificate: Plumber,"No 10 Toyota Street, Aureus Industrial Site Randfontein 1759",011 605 2777 / 082 807 4783,florah@tjeka.co.za,Frans Toua,23-May-22,22-May-27
,Toyota South Africa Motors (Pty) Ltd,AC-TTC201023170351,97585,Occupational Certificate: Millwright,"24 Prospecton Road, Isipingo Beach
Durban KwaZulu-Natal",319102969,kgovender7@toyota.co.za,Kercey Govender,20-Oct-23,19-Oct-28
,Toyota South Africa Motors (Pty) Ltd,AC-TTC201023170351,91761,Occupational Certificate: Electrician ,"24 Prospecton Road, Isipingo Beach
Durban KwaZulu-Natal",319102969,kgovender7@toyota.co.za,Kercey Govender,20-Oct-23,19-Oct-28
,Toyota South Africa Motors (Pty) Ltd,AC-TTC201023170351,94021,"Occupational Certificate: Mechanical Fitter
","24 Prospecton Road, Isipingo Beach
Durban KwaZulu-Natal",319102969,kgovender7@toyota.co.za,Kercey Govender,20-Oct-23,19-Oct-28
,Toyota South Africa Motors (Pty) Ltd,AC-TTC201023170351,94020,"Occupational Certificate: Fitter and Turner
","24 Prospecton Road, Isipingo Beach
Durban KwaZulu-Natal",319102969,kgovender7@toyota.co.za,Kercey Govender,20-Oct-23,19-Oct-28
,Trade Test Training Centre (Pty) Ltd,AC-TTC140723105756,97592,Occupational Certificate: Diesel Mechanic,"45 Tienie Steet, Andeon Pretoria Gauteng 0002",614775115,ansa@tradetesttrainingcentre.co.za,Anna Sophia Venter,14-Jul-23,13-Jul-28
,Tradesman Skills and Training (Pty) Ltd,09-QCTO/AC-TTC150922223543,94100,Occupational Certificate: Welder    ,"Factory 63, Freedom Drive, Industrial Park Seshego Limpopo 0741",083 735 6620,admin3@tstplk.co.za,083 735 6620,15-Sep-22,14-Sep-27
,Tradesman Skills and Training (Pty) Ltd,09-QCTO/AC-TTC150922223543,91782,Occupational Certificate:  Plumber  ,"Factory 63, Freedom Drive, Industrial Park Seshego Limpopo 0741",083 735 6620,admin3@tstplk.co.za,083 735 6620,15-Sep-22,14-Sep-27
,Tradesman Skills and Training (Pty) Ltd,09-QCTO/AC-TTC150922223543,94021,Occupational Certificate: Mechanical Fitter,"Factory 63, Freedom Drive, Industrial Park Seshego Limpopo 0741",083 735 6620,admin3@tstplk.co.za,083 735 6620,15-Sep-22,14-Sep-27
,Tradesman Skills and Training (Pty) Ltd,09-QCTO/AC-TTC150224134156,97585,Occupational Certificate: Millwright,"Factory 63, Zone 6 Freedom Drive, Industrial Park
Seshego Limpopo 0741",837356620,admin2@tstplk.co.za,Ciska Prinsloo,15-Feb-24,14-Feb-29
,Tradesman Skills and Training (Pty) Ltd,09-QCTO/AC-TTC150224134156,91761,Occupational Certificate: Electrician,"Factory 63, Zone 6 Freedom Drive, Industrial Park
Seshego Limpopo 0741",837356620,admin2@tstplk.co.za,Ciska Prinsloo,15-Feb-24,14-Feb-29
,Try Easy Electrical Solutions (pty) Ltd,07-QCTO/AC-TTC140922113146,94100,Occupational Certificate: Welder,06 Moshoeshoe Road Sebokeng Gauteng 1983,067 024 1104,Bonginkosi@teeselectrical.co.za,Bonginkosi Ngobeni,14-Sep-22,13-Sep-27
,Tshwane South TVET College,QCTOASC00210726-2539,94021,"Occupational Certificate: Mechanical Fitter
",1 College Avenue – Tek Base Lyttleton 0140,126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,06-Jul-22,05-Jul-27
,Tshwane South TVET College,QCTOASC00210726-2539,94020,"Occupational Certificate: Fitter and Turner
",1 College Avenue – Tek Base Lyttleton 0140,126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,06-Jul-22,05-Jul-27
,Tshwane South TVET College,QCTOASC00210726-2539,97592,"Occupational Certificate: Diesel Mechanic
",1 College Avenue – Tek Base Lyttleton 0140,126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,06-Jul-22,05-Jul-27
,Tshwane South TVET College,QCTOASC00210726-2539,97990,Occupational Certificate: Automotive Motor Mechanic,1 College Avenue – Tek Base Lyttleton 0140,126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,06-Jul-22,05-Jul-27
,Tshwane South TVET College,AC-TTC020823211124,91761,Occupational Certificate: Electrician,"1 College Avenue, Tek Base, Lyttleton
Centurion Gauteng 0140",126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,02-Aug-23,01-Aug-28
,Tshwane South TVET College,AC-TTC020823211124,94100,Occupational Certificate: Welder,"1 College Avenue, Tek Base, Lyttleton Centurion Gauteng 0140",126608535,sigwilil@tsc.edu.za,Luyolo Sigwili,02-Aug-23,01-Aug-28
,Umbilo Skills Training Centre,QCTOASC00210726-2528,91761,Occupational Certificate: Electrician,"27 Ely Road, Umbilo Durban 4001",031 206 0063,afisher@umbiloskillscentre.co.za,Angie Fisher,23-May-22,22-May-27
,Umbilo Skills Training Centre (Pty) Ltd,05-QCTO/AC-TTC151122230906,94020,Occupational Certificate: Fitter and Turner,"28 Ely Road, Umbilo Durban KwaZulu-Natal 4001",031 206 0063,pglendon@umbiloskillscentre.co.za,Patrick Glendon,14-Nov-22,13-Nov-27
,Umfolozi TVET College,QCTOASC00210726-2536,102856,Occupational Certificate: Rigger,"Corner Via Ricardia and Naboomnek, Aboretum",359022527,Wimpie.Britz@umfolozi.edu.za,Wimpie Britz,06-Jul-22,05-Jul-27
,Umfolozi TVET College,QCTOASC00210726-2537,94021,Occupational Certificate: Mechanical Fitter,51 Ohara Road Mandeni 4490,359022527,Wimpie.Britz@umfolozi.edu.za,Wimpie Britz,06-Jul-22,05-Jul-27
,Umfolozi TVET College,05-QCTO/AC-TTC150323011530,91782,Occupational Certificate: Plumber,"Lot No. 11 Esikhawini Highway,
Richards Bay KwaZulu-Natal 3887",035 902 9552 / 060 567 3223,wimpie.britz@umfolozi.edu.za,Talon Pillay,13-Mar-23,12-Mar-28
,Umfolozi TVET College,05-QCTO/AC-TTC270223122923,94020,"Occupational Certificate: Fitter and Turner
",End of Anderson Road Mandeni KwaZulu-Natal 4490,060 567 3155,Nasasivayam.perumal@umfolozi.edu.za,N Perumal,27-Feb-23,26-Feb-28
,Umfolozi TVET College,05-QCTO/AC-TTC270223122923,97585,Occupational Certificate: Millwright,End of Anderson Road Mandeni KwaZulu-Natal 4490,060 567 3155,Nasasivayam.perumal@umfolozi.edu.za,N Perumal,27-Feb-23,26-Feb-28
,Value Logistics (Pty) Ltd,07-QCTO/AC-TTC250124160212,96396,Occupational Certificate: Freight Handler,"10 Essex Street, Elandsfontein
Germiston Gauteng 1401",011929 6700,"irenet@value.co.za
natashat@value.co.za",Irene Tliana,25-Jan-24,24-Jan-29
,Vhembe TVET College,AC-TTC140723110808,94100,Occupational Certificate: Welder,"Thengwe Road, Makwarela Sibasa Limpopo 0970",0159633490/7000,malima.tp@vhembecollege.onmicrosoft.com,N E Netshandama,14-Jul-23,13-Jul-28
,Vision Automotive Training and Repairs (Pty) Ltd,09-QCTO/AC-TTC250124124753,97990,Occupational Certificate: Automotive Motor Mechanic,"New Industrial Site, Venn Street No2, Loretto Park
Tzaneen Limpopo 0850",832448305,info@visionautotraining.co.za,Mukhale Pieter Pilusa,25-Jan-24,24-Jan-29
,Vision Automotive Training and Repairs (Pty) Ltd,09-QCTO/AC-TTC250124124753,97592,Occupational Certificate: Diesel Mechanic,"New Industrial Site, Venn Street No2, Loretto Park
Tzaneen Limpopo 0850",832448305,info@visionautotraining.co.za,Mukhale Pieter Pilusa,25-Jan-24,24-Jan-29
,VNS Training and Construction,08-QCTO/AC-TTC140922113434,102856,Occupational Certificate: Rigger,"18 Melodie Street, Klarinet Witbank 1034",720976837,vntprojects@gmail.com,Vedesh Sewpersad,14-Sep-22,13-Sep-27
,Volkswagen of South Africa Pty Ltd,QCTOASC00190604-1673,91761,Occupational Certificate: Electrician,"VWSA B-Plant, Kelvin Street, Uitenhage",041 994 4582,hooperg@vwsa.co.za,"Gerald
Hooper",06-Jun-19,06-Jun-24
,Vuselela TVET College,QCTOASC00210726-2504,93627,Occupational Certificate: Bricklayer,11th Street Joberton,822982755,moremoholo@vuselelacollege.co.za,Masemola Theo,06-Dec-21,05-Dec-26
,West Coast TVET College,QCTOASC00210726-2520,99255,Occupational Certificate: Pipe Fitter,"1 Academie Street - Louwville
Vredenburg Western Cape 7380",022 482 1143,amuller@westcoastcollege.co.za,Mr A Muller,28-Mar-22,27-Mar-27
,White River Technical College (Pty) Ltd,AC-TTC120923154728,91761,Occupational Certificate: Electrician,"No 4 William Lynn street, White River, Kingsview White River Mpumalanga 1240",137151477,khozamp@whiterivertech.co.za,Elliot Chivanga,12-Sep-23,11-Sep-28
,Woodlands Dairy (Pty) Ltd,02-QCTO/AC-TTC240823170837,103097,Occupational Certificate: Processed Cheese Maker ,"Boog Street, Humansdorp Eastern Cape 6300",828700586,RHutton@woodlandsdairy.co.za,Richard Hutton,24-Aug-23,23-Aug-28
,Woodlands Dairy (Pty) Ltd,02-QCTO/AC-TTC240823170837,103129,Occupational Certificate: Ripened Cheesemaker,"Boog Street, Humansdorp Eastern Cape 6300",828700586,RHutton@woodlandsdairy.co.za,Richard Hutton,24-Aug-23,23-Aug-28
,Xilembeni Projects NPO,AC-TTC140723102814,91782,Occupational Certificate: Plumber,"Plot 96 Nestardt Road, Babsfontein
Ekurhuleni Gauteng 1510",814723786,xilembeniprojects@yahoo.com,Sandile Dweba,14-Jul-23,13-Jul-28
,Xilembeni Projects NPO,AC-TTC140723102814,91761,Occupational Certificate: Electrician ,"Plot 96 Nestardt Road, Babsfontein
Ekurhuleni Gauteng 1510",814723786,xilembeniprojects@yahoo.com,Sandile Dweba,14-Jul-23,13-Jul-28
,Xilembeni Projects NPO,AC-TTC140723102814,94100,Occupational Certificate: Welder    ,"Plot 96 Nestardt Road, Babsfontein
Ekurhuleni Gauteng 1510",814723786,xilembeniprojects@yahoo.com,Sandile Dweba,14-Jul-23,13-Jul-28
,Zama Training and Development CC,05-QCTO/AC-TTC250124113754,91782,Occupational Certificate: Plumber,"Corner Booth Road & Ridgeview Road, Cato Manor
Durban KwaZulu-Natal 4026","0314615735
0837845225","kelvinp@xis.co.za
zamatraining@xis.co.za",Kelvin Perimal,25-Jan-24,24-Jan-29
,Zama Training and Development CC,05-QCTO/AC-TTC250124113754,93627,Occupational Certificate: Bricklayer,"Corner Booth Road & Ridgeview Road, Cato Manor
Durban KwaZulu-Natal 4026","0314615735
0837845225","kelvinp@xis.co.za
zamatraining@xis.co.za",Kelvin Perimal,25-Jan-24,24-Jan-29
,Zurel Private College (Pty) Ltd,AC-TTC150922223153,91761,Occupational Certificate: Electrician,"120 River Street, Ladine
Polokwane Limpopo 0699",015 293 2358,Shikara@zurel.co.za,Shikara Maharaj,15-Sep-22,14-Sep-27
,Zurel Private College (Pty) Ltd,AC-TTC231123181623,97585,Occupational Certificate: Millwright,"120 River Street, Ladanna Polokwane Limpopo
0749",152932306,Shakira@zurel.co.za,Shakira Maharaj,23-Nov-23,22-Nov-28
,Zurel Private College (Pty) Ltd,AC-TTC231123181623,94100,Occupational Certificate: Welder    ,"120 River Street, Ladanna Polokwane Limpopo
0749",152932306,Shakira@zurel.co.za,Shakira Maharaj,23-Nov-23,22-Nov-28
,Zurel Private College (Pty) Ltd,AC-TTC231123181623,94021,"Occupational Certificate: Mechanical Fitter
","120 River Street, Ladanna Polokwane Limpopo
0749",152932306,Shakira@zurel.co.za,Shakira Maharaj,23-Nov-23,22-Nov-28
